presentation,pdf_pages,source_url
Barclays Presentation to ArcLight Capital 26 Jul 2018,9,https://www.10xebitda.com/wp-content/uploads/2020/04/Barclays-Presentation-to-ArcLight-Capital-26-Jul-2018.pdf
Blackstone Advisory Presentation on CareFirst 11 Feb 2003,29,https://www.10xebitda.com/wp-content/uploads/2016/12/Blackstone-Advisory-Presentation-on-CareFirst-11-Feb-2003.pdf
Centerview Presentation on Project Canine 21 May 2013,16,https://www.10xebitda.com/wp-content/uploads/2016/12/Centerview-Presentation-on-Project-Canine-21-May-2013.pdf
Credit Suisse Presentation to McMoRan Exploration 03 Dec 2012,28,https://www.10xebitda.com/wp-content/uploads/2016/12/Credit-Suisse-Presentation-to-McMoRan-Exploration-03-Dec-2012.pdf
Credit Suisse Presentation to NewStar 13 Apr 2017,22,https://www.10xebitda.com/wp-content/uploads/2020/04/Credit-Suisse-Presentation-to-NewStar-13-Apr-2017.pdf
Deutsche Bank Presentation to AmTrust Financial Services 31 Jan 2018,31,https://www.10xebitda.com/wp-content/uploads/2020/04/Deutsche-Bank-Presentation-to-AmTrust-Financial-Services-31-Jan-2018.pdf
Deutsche Bank Presentation to Dole Foods 15 Jul 2013,6,https://www.10xebitda.com/wp-content/uploads/2016/12/Deutsche-Bank-Presentation-to-Dole-Foods-15-Jul-2013.pdf
Endeavor Discussion Materials 2024.03.08,24,https://www.10xebitda.com/wp-content/uploads/2025/02/Endeavor-Discussion-Materials-2024.03.08.pdf
Evercore Fairness Presentation to MF Worldwide 10 Sep 2011,32,https://www.10xebitda.com/wp-content/uploads/2016/12/Evercore-Fairness-Presentation-to-MF-Worldwide-10-Sep-2011.pdf
Evercore Presentation to MF Worldwide 20 Jun 2011,31,https://www.10xebitda.com/wp-content/uploads/2016/12/Evercore-Presentation-to-MF-Worldwide-20-Jun-2011.pdf
Evercore Presentation to Vanguard Natural Resources 31 Mar 2019,3,https://www.10xebitda.com/wp-content/uploads/2020/04/Evercore-Presentation-to-Vanguard-Natural-Resources-31-Mar-2019.pdf
Goldman Sachs Presentation to Dell 21 Aug 2019,10,https://www.10xebitda.com/wp-content/uploads/2020/04/Goldman-Sachs-Presentation-to-Dell-21-Aug-2019.pdf
Houlihan Lokey Presentation to Astra Space 05 Mar 2024,8,https://www.10xebitda.com/wp-content/uploads/2025/02/Houlihan-Lokey-Presentation-to-Astra-Space-05-Mar-2024.pdf
JPMorgan Presentation to Kerzner 27 Feb 2006,33,https://www.10xebitda.com/wp-content/uploads/2016/12/JPMorgan-Presentation-to-Kerzner-27-Feb-2006.pdf
Jefferies Fairness Opinion for Focus Financial Partners February 2023,29,https://www.10xebitda.com/wp-content/uploads/2025/02/Jefferies-Fairness-Opinion-for-Focus-Financial-Partners-February-2023.pdf
Lazard Presentation to VMWare Special Committee August 2019,7,https://www.10xebitda.com/wp-content/uploads/2020/04/Lazard-Presentation-to-VMWare-Special-Committee-August-2019.pdf
LionTree Presentation to Starz 22 Jun 2016,25,https://www.10xebitda.com/wp-content/uploads/2016/12/LionTree-Presentation-to-Starz-22-Jun-2016.pdf
Moelis Presentation to Oracle 20 May 2016,31,https://www.10xebitda.com/wp-content/uploads/2016/12/Moelis-Presentation-to-Oracle-20-May-2016.pdf
Moelis Presentation to RealD 15 Oct 2015,37,https://www.10xebitda.com/wp-content/uploads/2016/12/Moelis-Presentation-to-RealD-15-Oct-2015.pdf
Perella Weinberg Presentation to rue21 22 May 2013,38,https://www.10xebitda.com/wp-content/uploads/2016/12/Perella-Weinberg-Presentation-to-rue21-22-May-2013.pdf
Taro Pharmaceuticals Discussion Materials 2024.01.17,19,https://www.10xebitda.com/wp-content/uploads/2025/02/Taro-Pharmaceuticals-Discussion-Materials-2024.01.17.pdf
